"date","airTemp_mean","airTemp_max","airTemp_min","RH_mean","WS_mean","ppt_tot","solarRad_mean"
2022-03-31,19.1929166666667,27.16,11.19,34.2314583333333,4.20429166666667,0,0.30475
2022-04-01,20.4625,29.52,10.84,29.619375,3.65633333333333,0,0.320375
2022-04-02,21.4570833333333,29.21,14.07,26.54125,5.53220833333333,0,0.3245
2022-04-03,20.7266666666667,27.63,14.68,30.3145833333333,5.47954166666667,0,0.321458333333333
2022-04-04,19.71125,28.27,10.31,37.1441666666667,3.66625,0,0.318166666666667
2022-04-05,23.1270833333333,31.61,14.67,29.0935416666667,4.065875,0,0.322375
2022-04-06,24.7920833333333,33.8,14.45,18.9370208333333,4.72679166666667,0,0.328708333333333
2022-04-07,27.3383333333333,33.88,20.23,5.57927083333333,9.50191666666667,0,0.343875
2022-04-08,28.58875,36.69,18.19,5.77816666666667,5.628625,0,0.344708333333333
2022-04-09,25.3233333333333,33.58,16.08,11.8195625,6.30391666666667,0,0.321291666666667
2022-04-10,23.5791666666667,30.08,18.84,26.461875,7.82758333333333,0,0.3405
2022-04-11,21.06875,27.37,16.27,39.7041666666667,9.41020833333333,0,0.339833333333333
2022-04-12,16.83,21.9,10.18,36.8316666666667,6.34245833333333,0,0.311666666666667
2022-04-13,14.4004166666667,24.02,2.375,10.2514791666667,3.27816666666667,0,0.364166666666667
2022-04-14,18.607125,28.73,6.611,10.11975,3.093375,0,0.355708333333333
2022-04-15,22.3429166666667,31.23,12.23,12.0294166666667,4.04441666666667,0,0.32825
2022-04-16,23.5679166666667,31.7,12.59,14.0079375,4.19991666666667,0,0.352958333333333
2022-04-17,23.3575,34.18,11.32,16.0114791666667,3.56433333333333,0,0.357041666666667
2022-04-18,25.5679166666667,35.76,12.27,10.6728333333333,3.19679166666667,0,0.349416666666667
2022-04-19,27.6870833333333,35.56,19.42,9.70147916666667,4.54775,0,0.279375
2022-04-20,24.0520833333333,32.03,12.14,12.0255416666667,4.192625,0,0.360291666666667
2022-04-21,24.3116666666667,32.06,15.53,18.6175,5.08725,0,0.354416666666667
2022-04-22,20.14,25.55,14.92,28.3079166666667,5.52154166666667,0,0.35975
2022-04-23,18.3318333333333,26.8,7.694,24.2879166666667,3.92954166666667,0,0.365666666666667
2022-04-24,21.585,29.48,12.25,12.2533958333333,4.71858333333333,0,0.36625
2022-04-25,23.9745833333333,34.37,13.01,9.5783125,4.31908333333333,0,0.366791666666667
2022-04-26,24.96375,35.43,12.18,9.45204166666667,3.59566666666667,0,0.349125
2022-04-27,25.2404166666667,32.17,18.64,12.9324166666667,6.18475,0,0.371
2022-04-28,22.8379166666667,29.95,17.68,16.4435416666667,6.80725,0,0.377375
2022-04-29,22.3491666666667,31.35,11.85,21.7175,3.52829166666667,0,0.369625
2022-04-30,24.3804166666667,34.12,11.53,14.2717916666667,3.48495833333333,0,0.367416666666667
2022-05-01,25.4066666666667,33.54,17.13,13.559375,7.625,0,0.375583333333333
2022-05-02,25.4404166666667,32.69,19.68,21.7204166666667,5.94104166666667,0,0.368291666666667
2022-05-03,23.3408333333333,29.85,15.87,24.2789583333333,6.34395833333333,0,0.308958333333333
2022-05-04,23.1754166666667,32.61,11.94,19.6929791666667,4.31916666666667,0,0.378291666666667
2022-05-05,25.03875,34.7,13.83,14.4064791666667,3.40770833333333,0,0.375708333333333
2022-05-06,27.0058333333333,36.79,15.24,13.8928541666667,4.03904166666667,0,0.374625
2022-05-07,28.4266666666667,35.9,21.94,12.8046666666667,7.40495833333333,0,0.361375
2022-05-08,25.925,32.51,18.91,22.6108333333333,7.39866666666667,0,0.377458333333333
2022-05-09,23.47,31.05,16.39,24.2652083333333,4.84929166666667,0,0.377125
2022-05-10,22.8025,31.89,11.27,17.028125,3.60841666666667,0,0.37775
2022-05-11,21.8641666666667,29.4,14.17,13.9362083333333,3.91629166666667,0,0.350458333333333
2022-05-12,20.8379166666667,29.45,12,9.112,5.368625,0,0.406416666666667
2022-05-13,25.5825,35.33,16.21,8.89095833333333,3.92141666666667,0,0.390208333333333
2022-05-14,28.2745833333333,39.38,13.63,8.26254166666667,3.491,0,0.389458333333333
2022-05-15,29.8854166666667,39.37,17.54,7.24170833333333,4.021,0,0.385458333333333
2022-05-16,29.8225,37.99,21.23,10.639,4.748,0,0.38675
2022-05-17,25.2254545454545,31.68,22.33,14.1590909090909,5.82427272727273,0,0.182818181818182
